run,comparison,cohort,arm,image,contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,avl-c,1,2,1,1804000,150295215286734920,12288,491520,4096,163840
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,direct-c,1,2,1,1823000,150295215286734920,366,137616,366,137616
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,source-c,1,2,1,1926000,150295215286734920,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,whitefoot,1,2,1,1795000,150295215286734920,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,whitefoot,2,2,1,1760000,9200959192876770169,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,source-c,2,2,1,1902000,9200959192876770169,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,direct-c,2,2,1,1845000,9200959192876770169,366,137616,366,137616
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,avl-c,2,2,1,1803000,9200959192876770169,12288,491520,4096,163840
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,avl-c,3,2,1,1810000,16180990349953641121,12288,491520,4096,163840
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,direct-c,3,2,1,1810000,16180990349953641121,366,137616,366,137616
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,source-c,3,2,1,1916000,16180990349953641121,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,whitefoot,3,2,1,1783000,16180990349953641121,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,whitefoot,4,2,1,1741000,10761409014595480978,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,source-c,4,2,1,1842000,10761409014595480978,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,direct-c,4,2,1,1776000,10761409014595480978,366,137616,366,137616
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,avl-c,4,2,1,1874000,10761409014595480978,12288,491520,4096,163840
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,avl-c,5,2,1,1842000,1366123243507223787,12288,491520,4096,163840
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,direct-c,5,2,1,1854000,1366123243507223787,366,137616,366,137616
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,source-c,5,2,1,1949000,1366123243507223787,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,whitefoot,5,2,1,1795000,1366123243507223787,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,range-16,8,whitefoot,0,1024,1,108000,14373097849899288419,1,504,1,504
